DEPTH,OrigDepth,CORE_NO,SAMPLE,CKHG,CKHL,CKVG,CKVL,CPOR,CPORV,So,Sw,CGD,CGDV
3838.6,3837,1,1,13.8,11.5,,,17,,,,2.66,
3838.85,3837.25,1,2,,,,,14.8,,,,2.67,
3839.15,3837.55,1,3,25.2,21.4,3.94,3.16,10.8,,,,2.69,
3839.4,3837.8,1,4,1.02,0.694,,,12.8,,,,2.7,
3839.48,3837.88,1,5,,,,,,18.8,52.9,36.4,,2.68
3839.6,3838,1,6,524,491,,,16.4,,,,2.69,
3839.85,3838.25,1,7,274,253,,,16.5,,,,2.66,
3840.1,3838.5,1,8,1130,1080,1100,1040,17.2,,,,2.66,
3840.35,3838.75,1,9,442,412,,,16.9,,,,2.66,
3840.52,3838.92,1,10,,,,,,19.5,72.5,11,,2.68
3840.6,3839,1,11,19.3,16.3,,,20.1,,,,2.66,
3840.8,3839.2,1,12,0.298,0.189,,,10.3,,,,2.93,
3841,3839.4,1,13,6.54,5.36,1200,1140,12.7,,,,3.03,
3841.35,3839.75,1,14,593,557,,,19,,,,2.66,
3841.52,3839.92,1,15,,,,,,8.6,23.9,52.4,,2.74
3841.6,3840,1,16,0.151,0.092,,,9.9,,,,2.91,
3841.8,3840.2,1,17,260,238,,,20.6,,,,2.63,
3842.05,3840.45,1,18,168,152,17.6,14.8,21,,,,2.66,
3842.35,3840.75,1,19,317,293,,,22.7,,,,2.64,
3842.54,3840.94,1,20,,,,,,24.4,61.6,21.7,,2.64
3842.6,3841,1,21,44.8,38.9,,,21.9,,,,2.69,
3842.8,3841.2,1,22,207,189,,,20,,,,2.63,
3843.05,3841.45,1,23,65,57,19.4,16.4,22.1,,,,2.62,
3843.35,3841.75,1,24,50.4,43.7,,,17.7,,,,2.63,
3843.53,3841.93,1,25,,,,,,13.9,31.7,43.4,,2.63
3843.6,3842,1,26,0.994,0.675,,,11.6,,,,2.67,
3843.85,3842.25,1,27,14.5,12.1,,,19.6,,,,2.63,
3844.1,3842.5,1,28,171,156,18.3,15.5,24.4,,,,2.67,
3844.35,3842.75,1,29,136,122,,,25.8,,,,2.62,
3844.51,3842.91,1,30,,,,,,26.1,62.2,23.9,,2.63
3844.6,3843,1,31,131,118,,,26.4,,,,2.64,
3844.8,3843.2,1,32,125,112,,,24.9,,,,2.62,
3845.05,3843.45,1,33,121,108,111,98.9,25.1,,,,2.63,
3845.35,3843.75,1,34,86.5,76.6,,,25,,,,2.62,
3845.54,3843.94,1,35,,,,,,24.2,59.8,23.3,,2.63
3845.6,3844,1,36,74.6,65.8,,,24.3,,,,2.63,
3845.85,3844.25,1,37,70.1,61.6,,,23.5,,,,2.62,
3846.1,3844.5,1,38,102,90.5,92.8,82.4,36,,,,2.63,
3846.35,3844.75,1,39,94.1,83.6,,,24,,,,2.63,
3846.53,3844.93,1,40,,,,,,25,78.4,9.7,,2.63
3846.6,3845,1,41,138,124,,,25,,,,2.63,
3846.85,3845.25,1,42,175,159,,,24.9,,,,2.63,
3847.1,3845.5,1,43,133,120,61.9,54.3,23.6,,,,2.63,
3847.35,3845.75,1,44,123,110,56.6,49.4,22.6,,,,2.63,
3847.51,3845.91,1,45,,,,,,19.8,67.4,18.1,,2.66
3847.6,3846,1,46,30.4,26,,,18.3,,,,2.67,
3847.85,3846.25,1,47,1.06,0.725,,,8.7,,,,2.71,
3848.1,3846.5,1,48,17.8,14.8,5.7,4.7,15,,,,2.68,
3848.35,3846.75,1,49,15.9,13.1,,,16.9,,,,2.72,
3848.53,3846.93,1,50,,,,,,23.5,67.2,18.3,,2.64
3848.6,3847,1,51,140,126,,,24,,,,2.63,
3848.85,3847.25,1,52,142,128,,,24.4,,,,2.62,
3849.1,3847.5,1,53,111,99.3,95.3,84.7,24.1,,,,2.62,
3849.35,3847.75,1,54,157,142,,,24.9,,,,2.62,
3849.5,3847.9,1,55,,,,,,25,68.1,15.3,,2.64
3849.6,3848,1,56,138,124,,,24.6,,,,2.64,
3849.85,3848.25,1,57,57.2,50,,,22.5,,,,2.62,
3850.1,3848.5,1,58,38,32.5,50.9,44.4,22,,,,2.62,
3850.35,3848.75,1,59,61,53.3,,,29.3,,,,2.62,
3850.5,3848.9,1,60,,,,,,23.8,58.5,22.4,,2.64
3850.6,3849,1,61,53.8,47.1,,,23.8,,,,2.64,
3850.8,3849.2,1,62,57.4,50.2,,,23.2,,,,2.64,
3851,3849.4,1,63,53.7,46.7,37.8,32.7,23.1,,,,2.63,
3851.35,3849.75,1,64,44.8,38.6,,,23.6,,,,2.63,
3851.51,3849.91,1,65,,,,,,23.2,57.2,26.6,,2.64
3851.6,3850,1,66,41.2,35.7,,,23.9,,,,2.66,
3851.85,3850.25,1,67,104,93.2,,,22.5,,,,2.64,
3852.1,3850.5,1,68,119,106,107,95.4,22,,,,2.65,
3852.35,3850.75,1,69,127,114,,,21.9,,,,2.65,
3852.51,3850.91,1,70,,,,,,23.5,62.4,20.9,,2.65
3852.6,3851,1,71,229,209,,,25.1,,,,2.65,
3853.05,3851.45,1,72,21.6,18.2,2.07,1.56,17.6,,,,2.62,
3853.35,3851.75,1,73,,,,,14.7,,,,2.66,
3853.5,3851.9,1,74,,,,,,20.9,53.1,29.8,,2.66
3853.6,3852,1,75,3.99,3.2,,,16.1,,,,2.68,
3853.8,3852.2,1,76,1.3,0.9,,,9.2,,,,2.71,
3854.2,3854,2,77,0.036,0.02,,,4,,,,2.74,
3854.4,3854.2,2,78,0.026,0.014,,,3.8,,,,2.74,
3854.6,3854.4,2,79,0.023,0.012,0.073,0.043,3.3,,,,2.74,
3855,3854.8,2,80,,,,,7.3,,,,2.78,
3855.1,3854.9,2,81,,,,,,11.4,33.8,45.8,,2.71
3855.2,3855,2,82,21.2,18,,,19.7,,,,2.69,
3855.45,3855.25,2,83,29.9,25.5,,,21.1,,,,2.65,
3855.7,3855.5,2,84,0.244,0.152,0.088,0.051,8.6,,,,2.73,
3855.95,3855.75,2,85,0.022,0.012,,,3.2,,,,2.74,
3856.06,3855.86,2,86,,,,,,2.7,20.7,62.4,,2.76
3856.2,3856,2,87,0.018,0.01,,,3.3,,,,2.76,
3856.4,3856.2,2,88,0.584,0.384,,,8.5,,,,2.71,
3856.6,3856.4,2,89,20.3,17,20.4,17.3,18.3,,,,2.66,
3856.95,3856.75,2,90,38.6,33,,,21,,,,2.64,
3857.13,3856.93,2,91,,,,,,19.1,48.5,30.1,,2.63
3857.2,3857,2,92,15,12.6,,,18.2,,,,2.65,
3857.45,3857.25,2,93,214,195,,,23.4,,,,2.64,
3857.7,3857.5,2,94,250,229,99.3,88.5,29.1,,,,2.63,
3857.95,3857.75,2,95,80.1,70.6,,,22.1,,,,2.64,
3858.1,3857.9,2,96,,,,,,22.9,66.4,17,,2.65
3858.2,3858,2,97,104,92.5,,,21,,,,2.65,
3858.4,3858.2,2,98,5.92,4.89,,,15.8,,,,2.66,
3858.6,3858.4,2,99,21,17.7,48.1,41.8,18.7,,,,2.71,
3858.95,3858.75,2,100,36,30.9,,,14.7,,,,2.69,
3859.11,3858.91,2,101,,,,,,18.9,67.7,22.3,,2.66
3859.2,3859,2,102,95.9,85.3,,,20.3,,,,2.66,
3859.45,3859.25,2,103,40.7,35.1,,,19.1,,,,2.66,
3859.7,3859.5,2,104,,,26.8,22.9,18.1,,,,2.65,
3859.95,3859.75,2,105,20.6,17.3,,,19.9,,,,2.63,
3860.09,3859.89,2,106,,,,,,22.2,68,16.6,,2.65
3860.2,3860,2,107,20800,20500,,,23.6,,,,2.64,
3860.35,3860.15,2,108,20400,20100,,,22.9,,,,2.64,
3861.5,3861.3,2,109,2480,2390,,,23.5,,,,2.64,
3861.9,3861.7,2,110,5230,5090,,,33.8,,,,2.64,
3862.1,3861.9,2,111,,,,,,23.3,77,8.5,,2.63
3862.2,3862,2,112,3780,3660,,,25,,,,2.65,
3862.4,3862.2,2,113,6260,6100,,,24.4,,,,2.63,
3862.6,3862.4,2,114,6930,6760,3690,3580,33.1,,,,2.63,
3862.85,3862.65,2,115,4950,4820,,,24.1,,,,2.64,
3863.02,3862.82,2,116,,,,,,24.6,80,5.9,,2.65
3863.2,3863,2,117,2270,2180,,,24.8,,,,2.63,
3867.2,3867,2,118,6430,6270,,,22.9,,,,2.64,
3867.35,3867.15,2,119,4950,4810,,,21.1,,,,2.65,
3868.2,3868,2,120,1540,1480,,,18.1,,,,2.67,
3868.45,3868.25,2,121,5410,5270,,,22.2,,,,2.64,
3868.9,3868.7,2,122,7150,6980,,,22.3,,,,2.66,
3869.11,3868.91,2,123,,,,,,23.4,73.9,6.3,,2.65
3869.2,3869,2,124,6470,6310,,,23.3,,,,2.66,
3869.45,3869.25,2,125,9350,9150,,,25,,,,2.64,
3869.7,3869.5,2,126,10000,9810,8050,7860,33.8,,,,2.65,
3869.95,3869.75,2,127,8290,8110,,,23.8,,,,2.64,
3870.11,3869.91,2,128,,,,,,25,83.2,5.4,,2.64
3870.2,3870,2,129,8790,8600,,,24.1,,,,2.65,
3870.4,3870.2,2,130,7310,7140,,,24,,,,2.65,
3870.6,3870.4,2,131,8370,8190,14800,14500,23.9,,,,2.65,
3870.95,3870.75,2,132,8570,8380,,,23.9,,,,2.65,
3871.12,3870.92,2,133,,,,,,25.6,79,7.4,,2.64
3871.2,3871,2,134,10900,10600,,,25,,,,2.66,
3871.45,3871.25,2,135,11800,11600,,,25.1,,,,2.65,
3871.7,3871.5,2,136,11000,10800,12300,12000,24.6,,,,2.64,
3871.95,3871.75,2,137,11900,11600,,,24.7,,,,2.64,
3872.08,3871.88,2,138,,,,,,24.9,83.9,4.5,,2.65
3872.2,3872,2,139,13200,12900,,,25.9,,,,2.65,
3872.7,3872.5,2,140,11800,11500,10200,9980,23.3,,,,2.66,
3873,3872.8,2,141,6520,6350,,,24.7,,,,2.64,
3873.2,3873,2,142,6660,6500,,,23.6,,,,2.65,
3873.45,3873.25,2,143,3590,3480,,,23,,,,2.64,
3873.7,3873.5,2,144,4040,3920,3800,3680,23.6,,,,2.65,
3873.95,3873.75,2,145,2580,2480,,,22.8,,,,2.65,
3874.14,3873.94,2,146,,,,,,22.5,86,8,,2.65
3874.2,3874,2,147,1740,1670,,,22.4,,,,2.66,
3874.4,3874.2,2,148,2880,2790,,,22.8,,,,2.65,
3874.6,3874.4,2,149,291,268,564,529,20.9,,,,2.65,
3874.95,3874.75,2,150,142,128,,,21.4,,,,2.65,
3875.1,3874.9,2,151,,,,,,22.4,77.8,13.1,,2.64
3875.2,3875,2,152,382,355,,,20,,,,2.66,
3875.45,3875.25,2,153,,,,,18.9,,,,2.66,
3875.7,3875.5,2,154,16.3,13.5,245,225,15.2,,,,2.64,
3875.95,3875.75,2,155,1.89,1.34,,,12.7,,,,2.65,
3876.14,3875.94,2,156,,,,,,6.6,21.3,60.1,,2.71
3876.2,3876,2,157,0.328,0.209,,,8.2,,,,2.7,
3876.45,3876.25,2,158,,,,,5.4,,,,2.72,
3876.75,3876.55,2,159,0.459,0.298,0.161,0.098,7.4,,,,2.69,
3876.95,3876.75,2,160,,,,,,,,,,
3877.05,3876.85,2,161,,,,,,3.1,25.5,63.1,,2.75
3877.2,3877,2,162,0.052,0.03,,,4,,,,2.76,
3877.45,3877.25,2,163,94,83.5,,,25.3,,,,2.66,
3877.75,3877.55,2,164,354,328,,,29.9,,,,2.65,
3878,3877.8,2,165,243,223,,,28.9,,,,2.64,
3878.11,3877.91,2,166,,,,,,27.8,72,15.1,,2.65
3878.2,3878,2,167,198,180,,,25.4,,,,2.67,
3878.4,3878.2,2,168,123,110,,,24.3,,,,2.67,
3878.7,3878.5,2,169,89.6,79.4,,,21.8,,,,2.67,
3878.95,3878.75,2,170,5.05,4.13,3.66,2.91,12,,,,2.71,
3879.12,3878.92,2,171,,,,,,11.9,44.3,28.6,,2.72
3879.2,3879,2,172,10.5,8.78,,,14.1,,,,2.7,
3879.45,3879.25,2,173,4.73,3.84,,,12.4,,,,2.71,
3879.7,3879.5,2,174,0.584,0.385,0.587,0.387,8.6,,,,2.73,
3879.95,3879.75,2,175,0.706,0.47,,,9.7,,,,2.71,
3880.14,3879.94,2,176,,,,,,21.9,60.5,19,,2.64
3880.2,3880,2,177,50.1,43.6,,,21.7,,,,2.66,
3881.45,3881.25,2,178,124,111,,,23.6,,,,2.63,
3881.65,3881.45,2,179,,,96.3,85.7,,,,,,
3882.1,3881.5,3,180,78.3,69,79.1,70,21.2,,,,2.65,
3882.4,3881.8,3,181,60.3,52.8,,,21.2,,,,2.65,
3882.52,3881.92,3,182,,,,,,21.7,57.5,22.8,,2.66
3882.6,3882,3,183,66.4,58.4,,,21.5,,,,2.66,
3882.8,3882.2,3,184,60.3,52.9,,,21.1,,,,2.65,
3883,3882.4,3,185,77.5,68.3,73.6,64.9,29,,,,2.65,
3883.25,3882.65,3,186,79.1,69.7,,,21.9,,,,2.65,
3883.43,3882.83,3,187,,,,,,21.4,60.4,21.1,,2.66
3883.5,3882.9,3,188,74.4,65.7,,,21.9,,,,2.66,
3883.8,3883.2,3,189,95.2,84.6,,,21.9,,,,2.65,
3884.1,3883.5,3,190,63.9,56,45.4,39.3,18.7,,,,2.66,
3884.35,3883.75,3,191,58.8,51.4,,,17,,,,2.67,
3884.52,3883.92,3,192,,,,,,17.8,58.1,21.4,,2.7
3884.6,3884,3,193,56,48.9,,,17.3,,,,2.69,
3884.85,3884.25,3,194,62.8,55.2,,,17.1,,,,2.67,
3885.1,3884.5,3,195,68.6,60.3,88.3,78.2,21.4,,,,2.67,
3885.35,3884.75,3,196,103,92.2,,,19.3,,,,2.66,
3885.53,3884.93,3,197,,,,,,18.2,59.6,23.6,,2.65
3885.6,3885,3,198,77.7,68.7,,,19.2,,,,2.65,
3885.85,3885.25,3,199,69.2,60.8,,,18.2,,,,2.66,
3886.15,3885.55,3,200,328,303,498,465,20.7,,,,2.62,
3886.35,3885.75,3,201,511,479,,,21.4,,,,2.63,
3886.54,3885.94,3,202,,,,,,21.2,68.8,18.1,,2.63
3886.6,3886,3,203,350,324,,,21.1,,,,2.63,
3886.85,3886.25,3,204,412,383,,,21,,,,2.63,
3887.1,3886.5,3,205,432,402,410,381,21.3,,,,2.63,
3887.35,3886.75,3,206,57.7,50.3,,,18.8,,,,2.62,
3887.53,3886.93,3,207,,,,,,20.5,55.6,22.3,,2.63
3887.6,3887,3,208,130,117,,,20.7,,,,2.62,
3887.85,3887.25,3,209,217,199,,,21.7,,,,2.63,
3888.15,3887.55,3,210,221,201,148,134,21.5,,,,2.62,
3888.35,3887.75,3,211,170,154,,,21.3,,,,2.63,
3888.54,3887.94,3,212,,,,,,21.5,67.4,20.1,,2.62
3888.6,3888,3,213,206,188,,,21.4,,,,2.63,
3888.85,3888.25,3,214,177,160,,,21.2,,,,2.62,
3889.1,3888.5,3,215,109,97.8,132,119,20.9,,,,2.62,
3889.35,3888.75,3,216,40.9,35.2,,,20.7,,,,2.63,
3889.5,3888.9,3,217,,,,,,21.2,64.5,26.1,,2.62
3889.6,3889,3,218,179,163,,,22.2,,,,2.64,
3889.85,3889.25,3,219,94.5,84,,,20.6,,,,2.64,
3890.15,3889.55,3,220,193,175,9.68,8.02,22.5,,,,2.63,
3890.35,3889.75,3,221,146,132,,,21.9,,,,2.63,
3890.52,3889.92,3,222,,,,,,22,65.1,22.3,,2.63
3890.6,3890,3,223,84.3,74.8,,,21.4,,,,2.63,
3890.85,3890.25,3,224,218,199,,,23.2,,,,2.63,
3891.1,3890.5,3,225,178,161,59.3,51.9,22.8,,,,2.63,
3891.35,3890.75,3,226,94.5,84,,,20.2,,,,2.64,
3891.6,3891,3,227,1.89,1.34,,,15.1,,,,2.65,
3891.85,3891.25,3,228,13,10.8,,,18.8,,,,2.64,
3892.15,3891.55,3,229,5.97,4.95,15.1,12.7,14.4,,,,2.65,
3892.35,3891.75,3,230,87.3,77.3,,,20.9,,,,2.64,
3892.51,3891.91,3,231,,,,,,20.2,64.7,24.3,,2.65
3892.6,3892,3,232,75.9,67,,,16.8,,,,2.64,
3892.85,3892.25,3,233,179,163,,,22.2,,,,2.64,
3893.1,3892.5,3,234,119,106,73.9,65.2,21.4,,,,2.64,
3893.35,3892.75,3,235,184,167,,,21.2,,,,2.65,
3893.5,3892.9,3,236,,,,,,18.1,69.1,21.8,,2.69
3893.6,3893,3,237,47.8,41.5,,,15.3,,,,2.67,
3893.8,3893.2,3,238,124,111,,,16.2,,,,2.67,
3894.1,3893.5,3,239,132,118,95.3,84.7,21.8,,,,2.64,
3894.35,3893.75,3,240,1.32,0.915,,,13.3,,,,2.66,
3894.55,3893.95,3,241,,,,,,18.6,42,37.1,,2.66
3894.6,3894,3,242,10.4,8.63,,,18.8,,,,2.65,
3894.85,3894.25,3,243,2.87,2.24,,,15,,,,2.62,
3895.1,3894.5,3,244,71.8,63.2,,,23.3,,,,2.63,
3895.35,3894.75,3,245,85.6,75.7,,,23.4,,,,2.64,
3895.52,3894.92,3,246,,,,,,23.6,61.1,27.2,,2.64
3895.6,3895,3,247,73.1,64.4,,,31.3,,,,2.64,
3895.85,3895.25,3,248,103,92,,,23.4,,,,2.64,
3896.15,3895.55,3,249,97.3,86.3,61.7,54.1,24.1,,,,2.65,
3896.35,3895.75,3,250,107,95.5,,,23.4,,,,2.64,
3896.52,3895.92,3,251,,,,,,18.7,45.9,35.7,,2.62
3896.6,3896,3,252,40.1,34.6,,,21.7,,,,2.64,
3896.85,3896.25,3,253,104,93.2,,,23,,,,2.64,
3897.1,3896.5,3,254,102,90.5,99.4,88.6,22.5,,,,2.64,
3897.35,3896.75,3,255,67,58.8,,,21.7,,,,2.64,
3897.53,3896.93,3,256,,,,,,21,58.4,22.5,,2.64
3897.6,3897,3,257,61.6,54.1,,,21.6,,,,2.65,
3897.85,3897.25,3,258,84.7,74.9,,,21.1,,,,2.64,
3898.15,3897.55,3,259,62.3,54.4,42.9,37,19.7,,,,2.65,
3898.35,3897.75,3,260,72.8,64.1,,,17.4,,,,2.68,
3898.54,3897.94,3,261,,,,,,17.2,68.3,22.7,,2.66
3898.6,3898,3,262,49,42.5,,,17.5,,,,2.66,
3898.85,3898.25,3,263,162,147,,,18.1,,,,2.64,
3899.15,3898.55,3,264,92.2,81.8,,,17.3,,,,2.67,
3899.6,3899,3,265,1590,1520,,,21,,,,2.63,
3899.85,3899.25,3,266,1580,1510,,,20.9,,,,2.63,
3900.15,3899.55,3,267,1570,1500,1440,1370,21.8,,,,2.63,
3900.35,3899.75,3,268,2660,2570,,,22.8,,,,2.63,
3900.6,3900,3,269,1640,1570,,,21.2,,,,2.62,
3900.85,3900.25,3,270,1120,1070,,,19.7,,,,2.6,
3901.1,3900.5,3,271,1220,1160,1910,1830,29.9,,,,2.63,
3901.35,3900.75,3,272,2780,2690,,,20.6,,,,2.63,
3901.5,3900.9,3,273,,,,,,19.3,79.5,15,,2.63
3901.6,3901,3,274,1280,1220,,,19.7,,,,2.65,
3901.85,3901.25,3,275,473,442,,,18.2,,,,2.61,
3902.15,3901.55,3,276,1340,1280,270,248,20.3,,,,2.63,
3902.35,3901.75,3,277,1510,1440,,,20.9,,,,2.62,
3902.53,3901.93,3,278,,,,,,19,76.8,15.5,,2.62
3902.6,3902,3,279,464,433,,,20.2,,,,2.66,
3902.85,3902.25,3,280,305,282,,,19.6,,,,2.62,
3903.1,3902.5,3,281,239,219,803,759,26.3,,,,2.64,
3903.35,3902.75,3,282,273,251,,,19.9,,,,2.63,
3903.52,3902.92,3,283,,,,,,18.9,67.3,23.5,,2.63
3903.6,3903,3,284,724,683,,,18.3,,,,2.63,
3903.85,3903.25,3,285,244,223,,,18.4,,,,2.63,
3904.15,3903.55,3,286,506,473,490,459,19.5,,,,2.63,
3904.35,3903.75,3,287,524,491,,,19.3,,,,2.63,
3904.53,3903.93,3,288,,,,,,19.3,68.2,23.4,,2.63
3904.6,3904,3,289,346,320,,,19.5,,,,2.65,
3904.85,3904.25,3,290,1200,1140,,,20.1,,,,2.63,
3905.1,3904.5,3,291,743,702,742,700,19.6,,,,2.63,
3905.35,3904.75,3,292,1130,1070,,,19.2,,,,2.62,
3905.53,3904.93,3,293,,,,,,17.9,70.9,20.6,,2.62
3905.6,3905,3,294,170,154,,,17.8,,,,2.64,
3905.85,3905.25,3,295,214,196,,,18.1,,,,2.62,
3906.15,3905.55,3,296,253,232,162,147,18.9,,,,2.62,
3906.35,3905.75,3,297,648,610,,,19.3,,,,2.62,
3906.52,3905.92,3,298,,,,,,15.7,46.9,35.4,,2.63
3906.6,3906,3,299,157,143,,,19.7,,,,2.65,
3906.8,3906.2,3,300,,,,,15.7,,,,2.62,
3907.1,3906.5,3,301,69.8,61.4,84.1,74.6,18.6,,,,2.64,
3907.35,3906.75,3,302,392,365,,,27.7,,,,2.64,
3907.85,3907.25,3,303,2050,1970,,,19.9,,,,2.64,
3908.1,3907.5,3,304,0.921,0.623,,,11.4,,,,2.69,
3908.5,3907.9,3,305,,,,,15.5,,,,2.64,
3908.85,3908.25,3,306,52.7,45.9,,,22.5,,,,2.63,
3909.1,3908.5,4,307,220,201,,,24.4,,,,2.65,
3909.17,3908.57,4,308,,,,,,23.7,62.3,27.3,,2.63
3909.6,3909,4,309,179,163,,,24,,,,2.64,
3909.85,3909.25,4,310,163,148,,,23.5,,,,2.63,
3910.15,3909.55,4,311,175,159,152,137,23.5,,,,2.63,
3910.35,3909.75,4,312,158,143,,,23.2,,,,2.63,
3910.52,3909.92,4,313,,,,,,24.3,64.1,23.1,,2.64
3910.6,3910,4,314,213,194,,,24.5,,,,2.64,
3910.85,3910.25,4,315,228,208,,,23.8,,,,2.63,
3911.1,3910.5,4,316,261,239,238,218,24.4,,,,2.64,
3911.35,3910.75,4,317,219,200,,,24.1,,,,2.64,
3911.51,3910.91,4,318,,,,,,24.3,66.4,23.5,,2.64
3911.6,3911,4,319,243,223,,,24.9,,,,2.64,
3911.85,3911.25,4,320,100,89.1,,,22.2,,,,2.64,
3912.15,3911.55,4,321,91.5,81.2,75.4,66.6,22,,,,2.64,
3912.35,3911.75,4,322,274,252,,,24.3,,,,2.65,
3912.52,3911.92,4,323,,,,,,24.1,68.7,20.7,,2.64
3912.6,3912,4,324,262,241,,,24,,,,2.64,
3912.85,3912.25,4,325,323,299,,,24.7,,,,2.66,
3913.1,3912.5,4,326,266,244,185,168,22.8,,,,2.68,
3913.35,3912.75,4,327,218,199,,,21.4,,,,2.68,
3913.53,3912.93,4,328,,,,,,21.2,73.1,19.1,,2.67
3913.6,3913,4,329,221,202,,,21,,,,2.66,
3913.85,3913.25,4,330,261,240,,,21.7,,,,2.66,
3914.2,3913.6,4,331,76.9,67.9,75.3,66.4,20.4,,,,2.67,
3914.4,3913.8,4,332,63.6,55.7,,,20.4,,,,2.67,
3914.5,3913.9,4,333,,,,,,20.8,59.9,28.5,,2.67
3914.6,3914,4,334,41.7,36.1,,,19.4,,,,2.66,
3914.85,3914.25,4,335,59.9,52.3,,,20.8,,,,2.66,
3915.15,3914.55,4,336,85.1,75.3,51.2,44.7,21.4,,,,2.66,
3915.35,3914.75,4,337,101,90.3,,,22.3,,,,2.66,
3915.51,3914.91,4,338,,,,,,22.3,61.3,26.8,,2.66
3915.6,3915,4,339,129,116,,,22.8,,,,2.65,
3916.05,3915.45,4,340,,,,,19.7,,,,2.67,
3916.3,3915.7,4,341,139,125,,,23.2,,,,2.66,
3916.6,3916,4,342,306,282,,,25.5,,,,2.69,
3916.8,3916.2,4,343,248,227,,,24.4,,,,2.67,
3917,3916.4,4,344,238,218,169,153,24.2,,,,2.67,
3917.35,3916.75,4,345,181,165,,,24.4,,,,2.68,
3917.5,3916.9,4,346,,,,,,24,62.4,24,,2.66
3917.6,3917,4,347,243,223,,,24,,,,2.65,
3917.85,3917.25,4,348,49.6,43.1,,,20.2,,,,2.66,
3918.1,3917.5,4,349,39.8,34.3,39,33.6,24.2,,,,2.65,
3918.35,3917.75,4,350,66.1,58,,,21.8,,,,2.66,
3918.49,3917.89,4,351,,,,,,21.4,51.1,34.6,,2.66
3918.6,3918,4,352,63.3,55.6,,,20.8,,,,2.67,
3918.85,3918.25,4,353,23.6,20,,,17.3,,,,2.68,
3919.1,3918.5,4,354,67.5,59.2,59.1,51.7,21.2,,,,2.68,
3919.35,3918.75,4,355,8.11,6.63,,,15.6,,,,2.75,
