DEPTH,OrigDepth,CORE_NO,SAMPLE,CKHG,CKHL,CKVG,CKVL,CPOR,CPORV,So,Sw,CGD,CGDV
3919.52,3918.92,4,356,,,,,,16.9,45.5,38.8,,2.81
3920.05,3919.45,4,357,1.46,1.02,0.195,0.12,4.3,,,,2.58,
3920.3,3919.7,4,358,,,,,3.9,,,,2.62,
3920.6,3920,4,359,1.89,1.33,,,5.3,,,,2.64,
3920.8,3920.2,4,360,3.17,2.49,,,4.6,,,,2.63,
3921.15,3920.55,4,361,,,0.275,0.173,8.6,,,,2.64,
3921.35,3920.75,4,362,1.56,1.09,,,5.1,,,,2.64,
3921.5,3920.9,4,363,,,,,,4.4,5.7,78.9,,2.67
3921.6,3921,4,364,0.053,0.03,,,4.6,,,,2.66,
3921.85,3921.25,4,365,1.07,0.733,,,3.8,,,,2.67,
3922.1,3921.5,4,366,1.23,0.846,0.365,0.233,4.3,,,,2.65,
3922.35,3921.75,4,367,3.38,2.67,,,13.2,,,,2.67,
3922.49,3921.89,4,368,,,,,,15.1,0,83.7,,2.67
3922.6,3922,4,369,1.49,1.04,,,4.7,,,,2.63,
3923.05,3922.45,4,370,,,,,6.5,,,,2.64,
3923.3,3922.7,4,371,0.38,0.244,,,5.6,,,,2.65,
3923.47,3922.87,4,372,,,,,,6.7,0,75.4,,2.71
3923.6,3923,4,373,0.1,0.059,,,3.9,,,,2.64,
3923.85,3923.25,4,374,1.17,0.8,,,6.7,,,,2.66,
3924.1,3923.5,4,375,,,1.04,0.708,6.6,,,,2.64,
3924.49,3923.89,4,376,,,,,,12.3,0,79.9,,2.67
3924.6,3924,4,377,0.127,0.077,,,7.8,,,,2.65,
3924.8,3924.2,4,378,0.655,0.434,,,11.9,,,,2.65,
3925,3924.4,4,379,8.77,7.22,,,14.5,,,,2.65,
3925.7,3925.1,4,380,0.312,0.198,,,9.1,,,,2.66,
3925.9,3925.3,4,381,,,0.124,0.075,4.6,,,,2.64,
3926.1,3925.5,4,382,,,,,3.6,,,,2.67,
3926.35,3925.75,4,383,,,,,3.9,,,,2.54,
3926.5,3925.9,4,384,,,,,,9.4,0,90.8,,2.65
3926.6,3926,4,385,6,4.97,,,9.6,,,,2.67,
3926.85,3926.25,4,386,4.57,3.7,,,17,,,,2.65,
3927.15,3926.55,4,387,46.1,39.8,1.26,0.868,21.4,,,,2.64,
3927.35,3926.75,4,388,10.6,8.82,,,15.5,,,,2.63,
3927.52,3926.92,4,389,,,,,,,,,,
3927.6,3927,4,390,16.8,14.2,,,14.8,,,,2.65,
3927.85,3927.25,4,391,0.281,0.177,,,5.1,,,,2.63,
3928.1,3927.5,4,392,1.12,0.77,2.58,1.99,10.5,,,,2.65,
3928.49,3927.89,4,393,,,,,,,,,,
3928.6,3928,4,394,0.932,0.631,,,5.7,,,,2.65,
3928.75,3928.15,4,395,,,,,10.8,,,,2.67,
3929.15,3928.55,4,396,0.306,0.194,0.138,0.084,10,,,,2.64,
3929.35,3928.75,4,397,2.91,2.27,,,15.3,,,,2.64,
3929.52,3928.92,4,398,,,,,,,,,,
3929.6,3929,4,399,,,,,8.9,,,,2.65,
3929.85,3929.25,4,400,,,,,4.8,,,,2.54,
3930.1,3929.5,4,401,1.2,0.823,0.277,0.174,9.5,,,,2.54,
3930.3,3929.7,4,402,1.09,0.743,,,11,,,,2.54,
3930.52,3929.92,4,403,,,,,,,,,,
3930.6,3930,4,404,0.39,0.25,,,10.4,,,,2.53,
3930.85,3930.25,4,405,1.8,1.27,,,15.6,,,,2.64,
3931.15,3930.55,4,406,17.4,14.4,0.382,0.245,10,,,,2.93,
3931.35,3930.75,4,407,1.38,0.953,,,3.4,,,,2.63,
3931.53,3930.93,4,408,,,,,,,,,,
3931.6,3931,4,409,0.281,0.177,,,4.9,,,,2.63,
3931.9,3931.3,4,410,,,,,11.5,,,,2.25,
3932.15,3931.55,4,411,1.19,0.815,0.165,0.101,6.9,,,,2.47,
3932.35,3931.75,4,412,0.689,0.458,,,6.9,,,,2.51,
3932.52,3931.92,4,413,,,,,,,,,,
3932.6,3932,4,414,8.91,7.4,,,5.1,,,,2.54,
3932.95,3932.35,4,415,,,,,4.8,,,,2.58,
3933.15,3932.55,4,416,,,0.145,0.088,3.8,,,,2.6,
3933.35,3932.75,4,417,0.3,0.189,,,7.4,,,,2.64,
3933.53,3932.93,4,418,,,,,,,,,,
3933.6,3933,4,419,0.206,0.127,,,8.3,,,,2.69,
3933.8,3933.2,4,420,0.31,0.197,,,3.6,,,,2.65,
3934,3933.4,4,421,0.395,0.254,,,5.7,,,,2.66,
3934.25,3933.65,4,422,0.233,0.145,,,4.9,,,,2.64,
3934.54,3933.94,4,423,,,,,,,,,,
3934.6,3934,4,424,0.558,0.367,,,11.1,,,,2.64,
3934.75,3934.15,4,425,,,,,4.6,,,,2.64,
3934.95,3934.35,4,426,26.4,22.1,,,23.9,,,,2.64,
3935.3,3935.5,5,427,,,0.099,0.059,4.4,,,,2.71,
3935.6,3935.8,5,428,,,,,13.4,,,,2.64,
3935.7,3935.9,5,429,,,,,,,,,,
3935.8,3936,5,430,0.046,0.026,,,4.9,,,,2.63,
3936,3936.2,5,431,8.06,6.65,,,15.1,,,,2.64,
3936.2,3936.4,5,432,29.2,24.9,50.2,43.8,14.3,,,,2.65,
3936.55,3936.75,5,433,102,90.7,,,14.5,,,,2.6,
3936.71,3936.91,5,434,,,,,,,,,,
3936.8,3937,5,435,,,,,,,,,,
3937.05,3937.25,5,436,,,,,4.8,,,,2.41,
3937.3,3937.5,5,437,0.284,0.179,0.043,0.024,3.7,,,,2.42,
3937.55,3937.75,5,438,6.18,5.05,,,15,,,,2.64,
3937.73,3937.93,5,439,,,,,,,,,,
3937.8,3938,5,440,68.2,59.9,,,17.6,,,,2.63,
3938,3938.2,5,441,101,89.9,262,240,18.7,,,,2.68,
3938.2,3938.4,5,442,4.43,3.58,1.3,0.898,14.2,,,,2.66,
3938.55,3938.75,5,443,50.6,43.9,,,20.6,,,,2.66,
3938.74,3938.94,5,444,,,,,,,,,,
3938.8,3939,5,445,41.5,35.9,,,17.5,,,,2.66,
3939.05,3939.25,5,446,39.9,34.3,,,18.1,,,,2.65,
3939.3,3939.5,5,447,10.5,8.59,52.5,45.7,24.4,,,,2.66,
3939.55,3939.75,5,448,1.3,0.894,,,14.8,,,,2.65,
3939.73,3939.93,5,449,,,,,,,,,,
3939.8,3940,5,450,0.684,0.455,,,12.1,,,,2.66,
3940.05,3940.25,5,451,0.413,0.266,,,7.9,,,,2.65,
3940.3,3940.5,5,452,96.8,86.1,2.06,1.55,18.5,,,,2.64,
3940.55,3940.75,5,453,135,122,,,12.6,,,,2.66,
3940.7,3940.9,5,454,,,,,,,,,,
3940.8,3941,5,455,,,,,,,,,,
3941.05,3941.25,5,456,0.81,0.544,,,9.8,,,,2.65,
3941.3,3941.5,5,457,0.774,0.519,1.87,1.32,10.1,,,,2.65,
3941.55,3941.75,5,458,0.31,0.197,,,8.7,,,,2.65,
3941.6,3941.8,5,459,,,,,,,,,,
3941.8,3942,5,460,0.384,0.246,,,7.6,,,,2.65,
3942,3942.2,5,461,4.77,3.88,,,16.7,,,,2.66,
3942.2,3942.4,5,462,6.56,5.38,63.9,56.2,14.6,,,,2.65,
3942.45,3942.65,5,463,6.24,5.18,,,16.9,,,,2.65,
3942.7,3942.9,5,464,,,,,,,,,,
3942.8,3943,5,465,,,,,,,,,,
3943.05,3943.25,5,466,,,,,,,,,2.67,
3943.3,3943.5,5,467,,,,,,,,,,
3943.55,3943.75,5,468,,,,,5.9,,,,2.65,
3943.71,3943.91,5,469,,,,,,,,,,
3943.8,3944,5,470,1.17,0.805,,,13.3,,,,2.66,
3944,3944.2,5,471,8.65,7.17,,,16.5,,,,2.65,
3944.35,3944.55,5,472,2.3,1.75,5.59,4.61,14.7,,,,2.64,
3944.6,3944.8,5,473,0.309,0.196,,,4.7,,,,2.65,
3944.8,3945,5,474,2.62,2.03,,,10,,,,2.66,
3945.05,3945.25,5,475,7.1,5.86,,,13.8,,,,2.65,
3945.35,3945.55,5,476,0.379,0.243,0.152,0.092,8.4,,,,2.65,
3945.55,3945.75,5,477,0.874,0.59,,,12.3,,,,2.64,
3945.68,3945.88,5,478,,,,,,,,,,
3945.8,3946,5,479,2.4,1.84,,,12.4,,,,2.66,
3946,3946.2,5,480,0.37,0.237,,,9.7,,,,2.63,
3946.2,3946.4,5,481,0.21,0.13,0.237,0.148,6.6,,,,2.61,
3946.55,3946.75,5,482,2.96,2.32,,,10.1,,,,2.61,
3946.65,3946.85,5,483,,,,,,,,,,
3946.8,3947,5,484,2.95,2.31,,,10.5,,,,2.63,
3947.05,3947.25,5,485,0.333,0.212,,,10.2,,,,2.63,
3947.3,3947.5,5,486,0.239,0.149,0.299,0.189,13.3,,,,2.65,
3947.55,3947.75,5,487,85.8,75.9,,,17.5,,,,2.65,
3947.67,3947.87,5,488,,,,,,,,,,
3947.8,3948,5,489,191,174,,,14.9,,,,2.69,
3948,3948.2,5,490,74.5,65.7,,,17.5,,,,2.66,
3948.2,3948.4,5,491,98,87.2,10.6,8.85,18.4,,,,2.66,
3948.55,3948.75,5,492,11.5,9.67,,,15.4,,,,2.67,
3948.66,3948.86,5,493,,,,,,,,,,
3948.8,3949,5,494,243,223,,,19.9,,,,2.65,
3949,3949.2,5,495,342,317,,,21.9,,,,2.66,
3949.3,3949.5,5,496,394,366,206,188,20.2,,,,2.64,
3949.55,3949.75,5,497,133,119,,,19.2,,,,2.66,
3949.65,3949.85,5,498,63.7,56,,,19.8,,,,2.65,
3949.7,3949.9,5,499,,,,,,,,,,
3950.1,3950.3,5,500,0.134,0.081,,,5.6,,,,2.73,
3950.3,3950.5,5,501,0.277,0.174,0.048,0.027,4.6,,,,2.72,
3950.55,3950.75,5,502,0.309,0.196,,,4.4,,,,2.71,
3950.62,3950.82,5,503,,,,,,,,,,
3950.8,3951,5,504,2.43,1.86,,,7.7,,,,2.68,
3951.05,3951.25,5,505,,,,,20.3,,,,2.58,
3951.3,3951.5,5,506,1240,1190,210,192,20.7,,,,2.63,
3951.55,3951.75,5,507,667,628,,,17.5,,,,2.65,
3951.7,3951.9,5,508,,,,,,,,,,
3951.8,3952,5,509,76.7,67.5,,,20,,,,2.66,
3952,3952.2,5,510,6.38,5.28,,,10.3,,,,2.64,
3952.2,3952.4,5,511,170,154,0.885,0.597,20.3,,,,2.63,
3952.55,3952.75,5,512,605,569,,,20.7,,,,2.66,
3952.69,3952.89,5,513,,,,,,,,,,
3952.8,3953,5,514,58.9,51.6,,,17.5,,,,2.66,
3953.05,3953.25,5,515,627,589,,,16.8,,,,2.7,
3953.3,3953.5,5,516,33.2,28.1,,,25.7,,,,2.64,
3953.55,3953.75,5,517,3.72,2.97,,,12.6,,,,2.65,
3953.8,3954,5,518,243,222,,,18,,,,2.65,
3954,3954.2,5,519,145,130,,,19,,,,2.64,
3954.3,3954.5,5,520,355,329,516,483,18,,,,2.64,
3954.55,3954.75,5,521,847,802,,,20.1,,,,2.64,
3954.8,3955,5,522,949,900,,,22.6,,,,2.65,
3955.05,3955.25,5,523,,,,,21.3,,,,2.6,
3955.3,3955.5,5,524,,,21.6,18.3,21.4,,,,2.63,
3955.55,3955.75,5,525,787,744,,,21.3,,,,2.63,
3956.05,3956.25,5,526,496,464,,,20.9,,,,2.64,
3956.25,3956.45,5,527,378,351,354,328,19.2,,,,2.64,
3956.55,3956.75,5,528,678,639,,,19.9,,,,2.64,
3956.66,3956.86,5,529,,,,,,,,,,
3956.8,3957,5,530,568,533,,,22.1,,,,2.64,
3957.05,3957.25,5,531,,,,,6.4,,,,2.66,
3957.3,3957.5,5,532,59.5,52,21.9,18.6,18.5,,,,2.64,
3957.55,3957.75,5,533,0.311,0.197,,,9.5,,,,2.67,
3957.8,3958,5,534,2.98,2.33,,,13.6,,,,2.65,
3958,3958.2,5,535,799,755,,,19.7,,,,2.64,
3958.3,3958.5,5,536,67.7,59.5,75.3,66.5,17.9,,,,2.64,
3958.55,3958.75,5,537,7.46,6.17,,,12.2,,,,2.74,
3958.67,3958.87,5,538,,,,,,,,,,
3958.8,3959,5,539,64.6,56.8,,,20.7,,,,2.65,
3959.05,3959.25,5,540,1580,1510,,,19.5,,,,2.66,
3959.3,3959.5,5,541,146,132,,,19.4,,,,2.64,
3959.55,3959.75,5,542,232,212,,,19.6,,,,2.64,
3959.7,3959.9,5,543,,,,,,,,,,
3959.8,3960,5,544,4.34,3.51,,,18,,,,2.79,
3960,3960.2,5,545,0.224,0.139,,,8.1,,,,2.65,
3960.2,3960.4,5,546,,,0.079,0.046,6.7,,,,2.65,
3960.55,3960.75,5,547,0.155,0.094,,,9.9,,,,2.64,
3960.69,3960.89,5,548,,,,,,,,,,
3960.8,3961,5,549,0.159,0.097,,,10.5,,,,2.68,
3961.05,3961.25,5,550,35.3,30.4,,,18.2,,,,2.66,
3961.35,3961.55,5,551,68.2,59.9,62.7,55,21.2,,,,2.64,
3961.55,3961.75,5,552,1.86,1.31,,,12.6,,,,2.66,
3961.8,3962,5,553,146,132,,,22.2,,,,2.64,
3962.05,3962.25,5,554,36.4,31.4,,,19.4,,,,2.65,
3962.3,3962.5,5,555,8.92,7.43,161,146,17.2,,,,2.65,
3963,3963,6,556,45.5,39.4,,,21.9,,,,2.64,
3963.25,3963.25,6,557,7.79,6.47,,,17.6,,,,2.64,
3963.54,3963.54,6,558,,,,,,,,,,
3963.6,3963.6,6,559,122,110,108,96.3,22.8,,,,2.7,
3963.85,3963.85,6,560,0.162,0.099,,,9.5,,,,2.64,
3964,3964,6,561,0.521,0.341,,,10,,,,2.64,
3964.25,3964.25,6,562,,,,,19.4,,,,2.66,
3964.5,3964.5,6,563,0.126,0.076,0.116,0.069,8.3,,,,2.66,
3964.57,3964.57,6,564,,,,,,,,,,
3964.8,3964.8,6,565,0.319,0.202,,,9.7,,,,2.65,
3965,3965,6,566,1.52,1.06,,,14.5,,,,2.65,
3965.25,3965.25,6,567,2.17,1.64,,,14.5,,,,2.65,
3965.5,3965.5,6,568,15.7,13.2,1.48,1.03,15.8,,,,2.72,
3965.59,3965.59,6,569,,,,,,,,,,
3965.8,3965.8,6,570,32.5,28,,,15.7,,,,2.64,
3966,3966,6,571,,,,,11.3,,,,2.63,
3966.2,3966.2,6,572,35.1,30.2,,,16.7,,,,2.65,
3966.5,3966.5,6,573,0.365,0.233,0.176,0.108,13,,,,2.65,
3966.64,3966.64,6,574,,,,,,,,,,
3966.75,3966.75,6,575,2.11,1.59,,,14.8,,,,2.63,
3967,3967,6,576,602,566,,,22.6,,,,2.65,
3967.3,3967.3,6,577,31.7,27.2,,,17,,,,2.65,
3967.5,3967.5,6,578,549,514,19.4,16.4,20.2,,,,2.67,
3967.64,3967.64,6,579,,,,,,,,,,
3967.75,3967.75,6,580,0.165,0.1,,,3.8,,,,2.75,
3968,3968,6,581,0.08,0.047,,,4.7,,,,2.79,
3968.35,3968.35,6,582,6.17,4.71,,,14.5,,,,2.65,
3968.5,3968.5,6,583,2.31,1.76,1.58,1.1,15,,,,2.65,
3968.61,3968.61,6,584,,,,,,,,,,
3968.7,3968.7,6,585,10.3,8.59,,,14.8,,,,2.64,
3969,3969,6,586,998,948,,,19.3,,,,2.66,
3969.25,3969.25,6,587,958,909,,,22.2,,,,2.66,
3969.5,3969.5,6,588,65.6,57.8,27.3,23.3,15.2,,,,2.66,
3969.58,3969.58,6,589,,,,,,,,,,
3969.75,3969.75,6,590,77.8,68.8,,,17.1,,,,2.64,
3970,3970,6,591,8.7,7.16,,,13.9,,,,2.67,
3970.25,3970.25,6,592,0.066,0.038,,,5.2,,,,2.73,
3970.5,3970.5,6,593,0.04,0.022,0.067,0.038,3.3,,,,2.76,
3970.62,3970.62,6,594,,,,,,,,,,
3970.7,3970.7,6,595,0.037,0.021,,,2.9,,,,2.76,
3971,3971,6,596,29.7,25.5,,,16.1,,,,2.66,
3971.25,3971.25,6,597,94.5,84,,,17.6,,,,2.66,
3971.5,3971.5,6,598,1.67,1.17,15.8,13.3,15.2,,,,2.65,
3971.62,3971.62,6,599,,,,,,,,,,
3971.75,3971.75,6,600,2.93,2.29,,,17.9,,,,2.66,
3972,3972,6,601,1.77,1.25,,,14.3,,,,2.64,
3972.25,3972.25,6,602,0.99,0.673,,,12.9,,,,2.73,
3972.37,3972.37,6,603,,,,,,,,,,
3972.5,3972.5,6,604,4.23,3.41,0.159,0.097,14.8,,,,2.65,
3972.8,3972.8,6,605,3.76,3,,,16.3,,,,2.64,
3973,3973,6,606,0.863,0.582,,,12.6,,,,2.64,
3973.25,3973.25,6,607,161,146,,,22.7,,,,2.65,
3973.35,3973.35,6,608,,,,,,,,,,
3973.5,3973.5,6,609,46.2,40.1,41.6,36,20.3,,,,2.64,
3973.75,3973.75,6,610,15.6,12.9,,,25,,,,2.64,
3974,3974,6,611,3.69,2.94,,,13.7,,,,2.66,
3974.25,3974.25,6,612,30.9,26.5,,,11.5,,,,2.71,
3974.32,3974.32,6,613,,,,,,,,,,
3974.6,3974.6,6,614,136,123,,,14.8,,,,2.68,
3974.8,3974.8,6,615,202,184,,,15.7,,,,2.68,
3975,3975,6,616,165,150,,,17.2,,,,2.67,
3975.25,3975.25,6,617,131,118,8.61,7.13,16,,,,2.65,
3975.35,3975.35,6,618,,,,,,,,,,
3975.5,3975.5,6,619,213,194,67.7,59.4,16.8,,,,2.65,
3975.75,3975.75,6,620,222,203,,,15.5,,,,2.66,
3976.05,3976.05,6,621,238,218,,,16.9,,,,2.64,
3976.3,3976.3,6,622,,,,,5.9,,,,2.83,
3976.4,3976.4,6,623,,,,,,,,,,
3976.8,3976.8,6,624,0.11,0.066,,,5.2,,,,2.69,
3977,3977,6,625,0.06,0.035,,,6.2,,,,2.66,
3977.25,3977.25,6,626,0.065,0.038,,,8.4,,,,2.65,
3977.5,3977.5,6,627,84.5,75,202,185,19.1,,,,2.64,
3977.7,3977.7,6,628,1410,1340,,,22.8,,,,2.64,
3978.3,3978.3,6,629,4.74,3.86,,,13.2,,,,2.65,
3978.45,3978.45,6,630,0.122,0.073,0.223,0.139,9.2,,,,2.64,
3978.75,3978.75,6,631,0.193,0.119,,,10.3,,,,2.63,
3979,3979,6,632,304,281,,,21.9,,,,2.63,
3979.3,3979.3,6,633,10.7,8.9,,,17.3,,,,2.62,
3979.55,3979.55,6,634,1.26,0.866,0.777,0.521,14.3,,,,2.64,
3979.8,3979.8,6,635,58.1,50.8,,,17.8,,,,2.63,
3980.05,3980.05,6,636,2.7,2.09,,,4.6,,,,2.76,
3980.15,3980.15,6,637,,,,,,,,,,
3980.23,3980.23,6,638,1.2,0.824,,,13.6,,,,2.66,
3980.27,3980.27,6,639,55.3,48.3,,,20.9,,,,2.67,
3980.32,3980.32,6,640,,,,,,,,,,
3980.4,3980.4,6,641,99.6,88.7,163,147,21.6,,,,2.64,
3980.8,3980.8,6,642,537,504,,,20.3,,,,2.64,
3981.1,3981.1,6,643,0.071,0.041,,,4.8,,,,2.64,
3981.3,3981.3,6,644,1.26,0.868,,,12.9,,,,2.63,
3981.5,3981.5,6,645,8.7,7.23,4.82,3.93,18.4,,,,2.62,
3981.7,3981.7,6,646,2.31,1.76,,,17.8,,,,2.63,
3982.35,3982.35,6,647,105,94,47.2,41,21.2,,,,2.64,
3982.75,3982.75,6,648,73.3,64.6,,,19.8,,,,2.65,
3983,3983,6,649,9.85,8.23,,,13,,,,2.68,
3983.25,3983.25,6,650,0.228,0.142,,,5.1,,,,2.71,
3983.39,3983.39,6,651,,,,,,,,,,
3983.5,3983.5,6,652,,,0.041,0.023,6.4,,,,2.69,
3983.75,3983.75,6,653,0.38,0.244,,,6.2,,,,2.72,
3984.15,3984.15,6,654,0.583,0.384,,,7.7,,,,2.7,
3984.3,3984.3,6,655,8.99,7.46,,,12.6,,,,2.68,
3984.5,3984.5,6,656,0.462,0.3,0.03,0.017,4.2,,,,2.69,
3984.8,3984.8,6,657,231,211,,,16.9,,,,2.66,
3985,3985,6,658,75.5,66.6,,,14,,,,2.7,
3985.25,3985.25,6,659,3.94,3.16,,,7.8,,,,2.71,
3985.35,3985.35,6,660,,,,,,,,,,
3985.6,3985.6,6,661,1.12,0.77,0.537,0.352,8.9,,,,2.67,
3985.8,3985.8,6,662,2.29,1.75,,,16,,,,2.66,
3986,3986,6,663,2.22,1.69,,,10.7,,,,2.68,
3986.25,3986.25,6,664,3.2,2.52,,,10.6,,,,2.68,
3986.33,3986.33,6,665,,,,,,,,,,
3986.5,3986.5,6,666,1.3,0.901,0.327,0.208,7.5,,,,2.71,
3986.8,3986.8,6,667,1.68,1.18,,,12,,,,2.71,
3987,3987,6,668,0.364,0.233,,,5.9,,,,2.73,
3987.25,3987.25,6,669,4.32,3.49,,,14.8,,,,2.66,
3987.35,3987.35,6,670,,,,,,,,,,
3987.5,3987.5,6,671,2.22,1.69,1.76,1.24,17.3,,,,2.64,
3987.75,3987.75,6,672,0.104,0.062,,,10.2,,,,2.63,
3988,3988,6,673,6.72,5.58,,,16.4,,,,2.64,
3988.25,3988.25,6,674,24.4,20.8,,,15.9,,,,2.66,
3988.33,3988.33,6,675,,,,,,,,,,
3988.45,3988.45,6,676,35.8,30.8,15.2,12.8,17.9,,,,2.66,
3988.75,3988.75,6,677,8.25,6.84,,,10.7,,,,2.71,
3989,3989,6,678,5.57,4.59,,,11.6,,,,2.69,
3989.25,3989.25,6,679,7.54,6.25,,,11.8,,,,2.69,
3989.5,3989.5,6,680,5.08,4.15,0.92,0.623,11.5,,,,2.69,
3989.75,3989.75,6,681,1.19,0.82,,,10.8,,,,2.68,
3990,3990,6,682,50.5,44,,,15.7,,,,2.66,
3990.2,3990.2,6,683,11.7,9.8,,,11.7,,,,2.69,
3990.55,3990.55,6,684,4.1,3.3,0.193,0.119,11.4,,,,2.65,
3990.75,3990.75,6,685,1.31,0.908,,,9.3,,,,2.68,
3990.89,3990.89,6,686,,,,,,,,,,
3991.2,3991,7,687,0.067,0.039,,,3.7,,,,2.73,
3991.45,3991.25,7,688,0.043,0.024,,,2.9,,,,2.74,
3991.7,3991.5,7,689,0.049,0.028,0.053,0.03,5,,,,2.69,
3991.95,3991.75,7,690,1060,1000,,,21.6,,,,2.65,
3992.1,3991.9,7,691,,,,,,,,,,
3992.2,3992,7,692,2250,2170,,,24.2,,,,2.67,
3992.4,3992.2,7,693,0.768,0.514,,,16.6,,,,2.67,
3992.6,3992.4,7,694,1.18,0.811,0.967,0.656,17.2,,,,2.66,
3992.95,3992.75,7,695,24.1,20.5,,,21.1,,,,2.65,
3993.09,3992.89,7,696,,,,,,,,,,
3993.2,3993,7,697,1990,1920,,,24.2,,,,2.66,
3993.4,3993.2,7,698,957,908,,,22.6,,,,2.65,
3993.7,3993.5,7,699,0.103,0.061,0.206,0.127,8,,,,2.66,
3993.95,3993.75,7,700,0.09,0.053,,,6.3,,,,2.73,
3994.1,3993.9,7,701,,,,,,,,,,
3994.2,3994,7,702,151,137,,,20.4,,,,2.66,
3994.4,3994.2,7,703,1.93,1.37,,,16.2,,,,2.63,
3994.65,3994.45,7,704,0.293,0.185,0.218,0.135,12,,,,2.64,
3994.95,3994.75,7,705,11.3,9.43,,,17,,,,2.64,
3995.13,3994.93,7,706,,,,,,,,,,
3995.2,3995,7,707,3.15,2.48,,,17.8,,,,2.65,
3995.45,3995.25,7,708,37.7,32.4,,,21.2,,,,2.64,
3995.7,3995.5,7,709,6.68,5.49,1.62,1.14,18.2,,,,2.65,
3995.95,3995.75,7,710,4.23,3.41,,,17.8,,,,2.65,
3996.09,3995.89,7,711,,,,,,,,,,
3996.2,3996,7,712,42.1,36.3,,,21.1,,,,2.63,
3996.4,3996.2,7,713,1.64,1.15,,,15.8,,,,2.65,
3996.6,3996.4,7,714,1.4,0.974,0.874,0.59,15.7,,,,2.64,
3996.95,3996.75,7,715,0.647,0.429,,,12.9,,,,2.65,
3997.12,3996.92,7,716,,,,,,,,,,
3997.2,3997,7,717,0.342,0.218,,,10.4,,,,2.65,
3997.4,3997.2,7,718,8.48,7.04,,,11.4,,,,2.66,
3997.7,3997.5,7,719,0.375,0.24,0.125,0.075,11.7,,,,2.65,
3997.95,3997.75,7,720,0.452,0.293,,,11.7,,,,2.66,
3998.25,3998.05,7,721,0.458,0.297,,,10.6,,,,2.67,
3998.45,3998.25,7,722,26.8,22.9,,,17.5,,,,2.64,
3998.65,3998.45,7,723,8.14,6.78,1.19,0.82,15.4,,,,2.65,
3999.05,3998.85,7,724,4980,4850,,,28.9,,,,2.65,
3999.2,3999,7,725,3460,3350,,,20.7,,,,2.66,
3999.45,3999.25,7,726,3600,3490,,,20.9,,,,2.64,
3999.7,3999.5,7,727,180,163,479,448,17.3,,,,2.64,
3999.95,3999.75,7,728,850,805,,,18.5,,,,2.64,