Well,Stratigraphical Unit,Top,Bottom
L07-01,Upper North Sea Group,0,697.74
L07-01,Rupel Formation,697.74,784.94
L07-01,Asse Member,784.94,834
L07-01,Brussels Marl Member,834,930
L07-01,Ieper Member,930,1310.02
L07-01,Basal Dongen Tuffite Member,1310.02,1316.43
L07-01,Landen Clay Member,1316.43,1332
L07-01,Ommelanden Formation,1332,2161.84
L07-01,Plenus Marl Member,2161.84,2163.67
L07-01,Texel Formation,2163.67,2273
L07-01,Upper Holland Marl Member,2273,2348.64
L07-01,Middle Holland Claystone Member,2348.64,2351.58
L07-01,Lower Holland Marl Member,2351.58,2354.5
L07-01,Vlieland Claystone Formation,2354.5,2365.5
L07-01,Lower Muschelkalk Member,2365.5,2431
L07-01,Röt Claystone Member,2431,2529
L07-01,Main Röt Evaporite Member,2529,2539.77
L07-01,Solling Claystone Member,2539.77,2557.82
L07-01,Basal Solling Sandstone Member,2557.82,2559.23
L07-01,Hardegsen Formation,2559.23,2581
L07-01,Detfurth Claystone Member,2581,2595
L07-01,Lower Detfurth Sandstone Member,2595,2598
L07-01,Volpriehausen Clay-Siltstone Member,2598,2674
L07-01,Lower Volpriehausen Sandstone Member,2674,2727
L07-01,Rogenstein Member,2727,2883
L07-01,Main Claystone Member,2883,3043.24
L07-01,Zechstein Upper Claystone Formation,3043.24,3068.4
L07-01,Salt Member,3068.4,3104.5
L07-01,Pegmatite Anhydrite Member,3104.5,3105
L07-01,Red Salt Clay Member,3105,3107
L07-01,Zechstein salt (inf.),3107,3514.37
L07-01,Basal Anhydrite Member,3514.37,3518.06
L07-01,Carbonate Member,3518.06,3525
L07-01,Anhydrite Member,3525,3545
L07-01,Carbonate Member,3545,3554.5
L07-01,Coppershale Member,3554.5,3555
L07-01,Ten Boer Member,3555,3644
L07-01,Upper Slochteren Member,3644,3705
L07-01,Ameland Member,3705,3796
L07-01,Lower Slochteren Member,3796,3870.5
L07-01,Step Graben Formation,3870.5,3934