md,inc,azi
0,0,0
145,0,0
150,0,0
180,0,0
210,0,0
240,0,0
254,0,0
270,0,0
284,0,0
300,0.53,45
330,1.53,45
360,2.53,45
390,3.53,45
420,4.53,45
450,5.53,45
480,6.53,45
510,7.53,45
524,8,45
540,7.01,41.92
570,5.24,33.08
600,3.71,16.26
630,2.85,344.07
660,3.22,306.21
690,4.55,283.62
720,6.24,272.16
750,8.08,265.73
780,9.98,261.69
810,11.91,258.94
840,13.86,256.96
870,15.82,255.45
892.38,17.29,254.55
900,17.29,254.55
930,17.29,254.55
960,17.29,254.55
990,17.29,254.55
1020,17.29,254.55
1050,17.29,254.55
1080,17.29,254.55
1081.87,17.29,254.55
1110,19.17,254.52
1132.05,20.64,254.49
1140,20.64,254.49
1170,20.64,254.49
1200,20.64,254.49
1230,20.64,254.49
1260,20.64,254.49
1290,20.64,254.49
1320,20.64,254.49
1350,20.64,254.49
1365,20.64,254.49
1380,20.64,254.49
1410,20.64,254.49
1440,20.64,254.49
1470,20.64,254.49
1500,20.64,254.49
1530,20.64,254.49
1560,20.64,254.49
1590,20.64,254.49
1620,20.64,254.49
1650,20.64,254.49
1680,20.64,254.49
1710,20.64,254.49
1740,20.64,254.49
1770,20.64,254.49
1800,20.64,254.49
1830,20.64,254.49
1860,20.64,254.49
1890,20.64,254.49
1920,20.64,254.49
1935.32,20.64,254.49
1950,19.75,253.27
1980,17.97,250.43
2010,16.25,247
2040,14.59,242.79
2070,13.02,237.56
2100,11.59,231
2130,10.34,222.76
2160,9.36,212.56
2190,8.73,200.46
2220,8.52,187.16
2250,8.78,173.95
2280,9.46,162.04
2310,10.48,152.07
2340,11.75,144.04
2370,13.2,137.65
2400,14.77,132.56
2430,16.44,128.45
2460,18.18,125.09
2490,19.96,122.31
2520,21.78,119.97
2550,23.62,117.97
2580,25.49,116.25
2594,26.37,115.53
2610,27.38,114.76
2640,29.28,113.44
2670,31.19,112.27
2700,33.11,111.22
2730,35.04,110.28
2760,36.97,109.42
2790,38.91,108.63
2820,40.86,107.91
2850,42.81,107.25
2880,44.76,106.63
2910,46.72,106.05
2940,48.68,105.51
2970,50.64,105
3000,52.61,104.51
3012.59,53.43,104.32
3030,53.43,104.32
3060,53.43,104.32
3090,53.43,104.32
3102.59,53.43,104.32
3113,53.43,104.32
3120,53.43,104.32
3150,53.43,104.32
3180,53.43,104.32
3210,53.43,104.32
3240,53.43,104.32
3270,53.43,104.32
3273.78,53.43,104.32
3300,53.43,104.32
3330,53.43,104.32
3360,53.43,104.32
3390,53.43,104.32
3420,53.43,104.32
3438,53.43,104.32