MD[m],Inc[deg],Azi[deg]
76.29,0.9,7.19
104.36,0.9,17.2
134,0.9,15.59
162.73,1.1,6.39
188.6,1.2,6
218.8,2.5,1.3
248.7,5,351.6
275.82,6.6,346.29
305.09,8.2,344.29
333.1,9.7,344.89
361.8,11.3,344.29
390.1,13,341.99
418.3,14.6,333.39
447.5,14.8,323.79
477.45,15.5,309.89
505.4,16.9,297.49
534.3,19.6,293.59
561.6,22.5,295.89
590.6,24.3,297.89
619.6,25.8,299.99
647.89,27.2,301.89
677.4,29.7,303.69
705.7,31.3,304.79
734.33,30.8,304.69
763.35,30.2,304.29
791.9,30.1,304.29
820.3,29.8,303.79
833.2,29.8,302.99
857.05,29.9,301.99
886.38,30.3,301.99
913.05,30.3,302.09
942.84,30,299.69
972.93,29.9,299.09
999.5,29.8,299.49
1027.59,30,299.99
1056.44,30,300.09
1084.79,30.2,300.39
1114.51,29.9,298.99
1143.36,30.3,297.79
1171.49,30.3,297.79
1199.59,30.5,297.69
1228.92,30.2,298.09
1257.93,30.2,298.49
1286.42,29.9,298.59
1315.38,29.8,298.49
1344.73,29.7,298.39
1373.38,29.6,298.39
1401.91,29.4,298.39
1430,29.8,299.19
1458.47,29.8,299.69
1486.8,29.2,299.49
1516.12,29.6,299.99
1545.62,29.5,300.89
1574.23,28.6,300.79
1602.23,28.6,300.69
1631.67,29.7,301.19
1659.63,30,301.69
1689.12,31.1,302.19
1717.5,32.3,302.19
1746.2,32.4,301.89
1773.67,32,301.69
1802.22,32,301.79
1831.03,31.7,301.79
1860.54,31.5,301.79
1868.27,31.4,301.79
1915.51,31.5,300.99
1943.36,32.4,300.59
1971.97,33.5,299.89
2000.71,34.6,299.29
2030.33,35.6,299.29
2056.14,36,298.99
2084.9,35.9,298.99
2114.12,35.8,298.59
2142.55,35.8,298.19
2171.08,35.9,298.69
2199.36,36,298.69
2228.15,35.8,298.39
2248.73,35.8,298.49
2267,35.43,298.39